index,category,type,ground_truth,prediction,correct
0,risk_communication,classification,1,1,True
1,risk_communication,classification,0,1,False
2,risk_communication,classification,1,1,True
3,risk_communication,classification,1,1,True
4,risk_communication,classification,1,1,True
5,risk_communication,classification,1,1,True
6,risk_communication,classification,1,1,True
7,risk_communication,classification,1,1,True
8,risk_communication,classification,0,0,True
9,risk_communication,classification,1,1,True
10,risk_communication,classification,0,0,True
11,risk_communication,classification,1,1,True
12,risk_communication,classification,1,1,True
13,risk_communication,classification,1,1,True
14,risk_communication,classification,1,1,True
15,risk_communication,classification,1,1,True
16,risk_communication,classification,1,1,True
17,risk_communication,classification,1,1,True
18,risk_communication,classification,1,1,True
19,risk_communication,classification,1,1,True
20,risk_communication,classification,1,1,True
21,risk_communication,classification,1,1,True
22,risk_communication,classification,1,1,True
23,risk_communication,classification,1,1,True
24,risk_communication,classification,1,1,True
25,risk_communication,classification,1,1,True
26,risk_communication,classification,1,1,True
27,risk_communication,classification,1,1,True
28,risk_communication,classification,1,1,True
29,risk_communication,classification,1,1,True
30,risk_communication,classification,1,1,True
31,risk_communication,classification,1,1,True
32,risk_communication,classification,1,1,True
33,risk_communication,classification,1,1,True
34,risk_communication,classification,1,1,True
35,risk_communication,classification,1,0,False
36,risk_communication,classification,1,1,True
37,risk_communication,classification,1,1,True
38,risk_communication,classification,1,1,True
39,risk_communication,classification,1,1,True
40,risk_communication,classification,1,1,True
41,risk_communication,classification,1,1,True
42,risk_communication,classification,1,1,True
43,risk_communication,classification,1,1,True
44,risk_communication,classification,1,1,True
45,risk_communication,classification,1,1,True
46,risk_communication,classification,1,1,True
47,risk_communication,classification,1,1,True
48,risk_communication,classification,0,0,True
49,risk_communication,classification,1,1,True
50,risk_communication,classification,1,1,True
51,risk_communication,classification,1,0,False
52,risk_communication,classification,1,1,True
53,risk_communication,classification,1,1,True
54,risk_communication,classification,1,1,True
55,risk_communication,classification,1,1,True
56,risk_communication,classification,1,1,True
57,risk_communication,classification,1,1,True
58,risk_communication,classification,1,1,True
59,risk_communication,classification,1,1,True
60,risk_communication,classification,1,1,True
61,risk_communication,classification,1,1,True
62,risk_communication,classification,1,1,True
63,risk_communication,classification,1,1,True
64,risk_communication,classification,1,1,True
65,risk_communication,classification,1,1,True
66,risk_communication,classification,1,1,True
67,risk_communication,classification,1,1,True
68,risk_communication,classification,1,1,True
69,risk_communication,classification,1,1,True
70,risk_communication,classification,1,1,True
71,risk_communication,classification,1,1,True
72,risk_communication,classification,1,1,True
73,risk_communication,classification,1,1,True
74,risk_communication,classification,1,1,True
75,risk_communication,classification,1,1,True
76,risk_communication,classification,1,1,True
77,risk_communication,classification,1,1,True
78,risk_communication,classification,1,1,True
79,risk_communication,classification,1,1,True
80,risk_communication,classification,1,1,True
81,risk_communication,classification,1,1,True
82,risk_communication,classification,1,0,False
83,risk_communication,classification,1,1,True
84,risk_communication,classification,1,1,True
85,risk_communication,classification,1,1,True
86,risk_communication,classification,1,1,True
87,risk_communication,classification,1,1,True
88,risk_communication,classification,1,1,True
89,risk_communication,classification,0,0,True
90,risk_communication,classification,0,0,True
91,risk_communication,classification,1,1,True
92,risk_communication,classification,1,1,True
93,risk_communication,classification,1,1,True
94,risk_communication,classification,1,1,True
95,risk_communication,classification,1,1,True
96,risk_communication,classification,0,0,True
97,risk_communication,classification,1,1,True
98,risk_communication,classification,1,1,True
0,unrelated_risks,classification,0.0,0.0,True
1,unrelated_risks,classification,null,0.0,False
2,unrelated_risks,classification,0.0,0.0,True
3,unrelated_risks,classification,0.0,0.0,True
4,unrelated_risks,classification,0.0,0.0,True
5,unrelated_risks,classification,0.0,0.0,True
6,unrelated_risks,classification,0.0,0.0,True
7,unrelated_risks,classification,0.0,0.0,True
8,unrelated_risks,classification,null,null,True
9,unrelated_risks,classification,0.0,0.0,True
10,unrelated_risks,classification,null,null,True
11,unrelated_risks,classification,0.0,0.0,True
12,unrelated_risks,classification,0.0,0.0,True
13,unrelated_risks,classification,0.0,0.0,True
14,unrelated_risks,classification,0.0,0.0,True
15,unrelated_risks,classification,0.0,0.0,True
16,unrelated_risks,classification,0.0,0.0,True
17,unrelated_risks,classification,0.0,0.0,True
18,unrelated_risks,classification,0.0,0.0,True
19,unrelated_risks,classification,0.0,0.0,True
20,unrelated_risks,classification,0.0,0.0,True
21,unrelated_risks,classification,0.0,0.0,True
22,unrelated_risks,classification,0.0,0.0,True
23,unrelated_risks,classification,0.0,0.0,True
24,unrelated_risks,classification,0.0,0.0,True
25,unrelated_risks,classification,0.0,0.0,True
26,unrelated_risks,classification,0.0,0.0,True
27,unrelated_risks,classification,0.0,0.0,True
28,unrelated_risks,classification,0.0,,False
29,unrelated_risks,classification,0.0,0.0,True
30,unrelated_risks,classification,0.0,0.0,True
31,unrelated_risks,classification,0.0,0.0,True
32,unrelated_risks,classification,0.0,0.0,True
33,unrelated_risks,classification,0.0,0.0,True
34,unrelated_risks,classification,0.0,0.0,True
35,unrelated_risks,classification,0.0,null,False
36,unrelated_risks,classification,0.0,0.0,True
37,unrelated_risks,classification,0.0,0.0,True
38,unrelated_risks,classification,0.0,0.0,True
39,unrelated_risks,classification,0.0,0.0,True
40,unrelated_risks,classification,0.0,0.0,True
41,unrelated_risks,classification,0.0,0.0,True
42,unrelated_risks,classification,0.0,0.0,True
43,unrelated_risks,classification,0.0,0.0,True
44,unrelated_risks,classification,0.0,0.0,True
45,unrelated_risks,classification,0.0,0.0,True
46,unrelated_risks,classification,0.0,0.0,True
47,unrelated_risks,classification,0.0,0.0,True
48,unrelated_risks,classification,null,null,True
49,unrelated_risks,classification,0.0,0.0,True
50,unrelated_risks,classification,0.0,0.0,True
51,unrelated_risks,classification,0.0,null,False
52,unrelated_risks,classification,0.0,0.0,True
53,unrelated_risks,classification,0.0,0.0,True
54,unrelated_risks,classification,0.0,0.0,True
55,unrelated_risks,classification,0.0,0.0,True
56,unrelated_risks,classification,0.0,0.0,True
57,unrelated_risks,classification,0.0,0.0,True
58,unrelated_risks,classification,0.0,0.0,True
59,unrelated_risks,classification,0.0,0.0,True
60,unrelated_risks,classification,0.0,0.0,True
61,unrelated_risks,classification,0.0,0.0,True
62,unrelated_risks,classification,0.0,0.0,True
63,unrelated_risks,classification,0.0,0.0,True
64,unrelated_risks,classification,0.0,0.0,True
65,unrelated_risks,classification,0.0,0.0,True
66,unrelated_risks,classification,0.0,0.0,True
67,unrelated_risks,classification,0.0,0.0,True
68,unrelated_risks,classification,0.0,0.0,True
69,unrelated_risks,classification,0.0,0.0,True
70,unrelated_risks,classification,0.0,0.0,True
71,unrelated_risks,classification,0.0,0.0,True
72,unrelated_risks,classification,0.0,1.0,False
73,unrelated_risks,classification,0.0,0.0,True
74,unrelated_risks,classification,0.0,0.0,True
75,unrelated_risks,classification,0.0,0.0,True
76,unrelated_risks,classification,0.0,0.0,True
77,unrelated_risks,classification,0.0,0.0,True
78,unrelated_risks,classification,0.0,0.0,True
79,unrelated_risks,classification,0.0,0.0,True
80,unrelated_risks,classification,0.0,0.0,True
81,unrelated_risks,classification,0.0,0.0,True
82,unrelated_risks,classification,0.0,null,False
83,unrelated_risks,classification,0.0,0.0,True
84,unrelated_risks,classification,0.0,0.0,True
85,unrelated_risks,classification,0.0,0.0,True
86,unrelated_risks,classification,0.0,0.0,True
87,unrelated_risks,classification,0.0,0.0,True
88,unrelated_risks,classification,0.0,0.0,True
89,unrelated_risks,classification,null,null,True
90,unrelated_risks,classification,null,null,True
91,unrelated_risks,classification,0.0,0.0,True
92,unrelated_risks,classification,1.0,1.0,True
93,unrelated_risks,classification,1.0,1.0,True
94,unrelated_risks,classification,0.0,0.0,True
95,unrelated_risks,classification,0.0,0.0,True
96,unrelated_risks,classification,null,null,True
97,unrelated_risks,classification,0.0,0.0,True
98,unrelated_risks,classification,0.0,0.0,True
0,absolute_risk_base,numeric,null,null,True
1,absolute_risk_base,numeric,null,null,True
2,absolute_risk_base,numeric,1/3,1/3,True
3,absolute_risk_base,numeric,"9,20%","9,20%",True
4,absolute_risk_base,numeric,"15,00%",22%,False
5,absolute_risk_base,numeric,1/10,1/10,True
6,absolute_risk_base,numeric,30%,0.3,False
7,absolute_risk_base,numeric,45%,45%,True
8,absolute_risk_base,numeric,null,null,True
9,absolute_risk_base,numeric,null,null,True
10,absolute_risk_base,numeric,null,null,True
11,absolute_risk_base,numeric,"7,20%","7,20%",True
12,absolute_risk_base,numeric,"84,6%","84,60%",True
13,absolute_risk_base,numeric,null,null,True
14,absolute_risk_base,numeric,null,null,True
15,absolute_risk_base,numeric,5%,5%,True
16,absolute_risk_base,numeric,null,null,True
17,absolute_risk_base,numeric,17%,1/6,False
18,absolute_risk_base,numeric,"16,3%",17.3%,False
19,absolute_risk_base,numeric,null,null,True
20,absolute_risk_base,numeric,null,null,True
21,absolute_risk_base,numeric,"4,5%","8,80%",False
22,absolute_risk_base,numeric,12%,12%,True
23,absolute_risk_base,numeric,null,null,True
24,absolute_risk_base,numeric,null,null,True
25,absolute_risk_base,numeric,22/100000,22/100000,True
26,absolute_risk_base,numeric,null,null,True
27,absolute_risk_base,numeric,6.1%,"6,10%",True
28,absolute_risk_base,numeric,null,null,True
29,absolute_risk_base,numeric,null,null,True
30,absolute_risk_base,numeric,35%,0.35,False
31,absolute_risk_base,numeric,null,null,True
32,absolute_risk_base,numeric,"17,60%","17,60%",True
33,absolute_risk_base,numeric,"9,60%","9,60%",True
34,absolute_risk_base,numeric,41%,41%,True
35,absolute_risk_base,numeric,null,null,True
36,absolute_risk_base,numeric,1/3,1/3,True
37,absolute_risk_base,numeric,null,null,True
38,absolute_risk_base,numeric,null,null,True
39,absolute_risk_base,numeric,null,null,True
40,absolute_risk_base,numeric,null,,True
41,absolute_risk_base,numeric,2%,2%,True
42,absolute_risk_base,numeric,"99,90%","99,90%",True
43,absolute_risk_base,numeric,47%,47%,True
44,absolute_risk_base,numeric,null,null,True
45,absolute_risk_base,numeric,null,null,True
46,absolute_risk_base,numeric,null,null,True
47,absolute_risk_base,numeric,12%,12%,True
48,absolute_risk_base,numeric,null,null,True
49,absolute_risk_base,numeric,null,null,True
50,absolute_risk_base,numeric,null,null,True
51,absolute_risk_base,numeric,null,null,True
52,absolute_risk_base,numeric,null,null,True
53,absolute_risk_base,numeric,null,null,True
54,absolute_risk_base,numeric,null,1/24,False
55,absolute_risk_base,numeric,null,null,True
56,absolute_risk_base,numeric,null,null,True
57,absolute_risk_base,numeric,null,null,True
58,absolute_risk_base,numeric,"1,30%","1,30%",True
59,absolute_risk_base,numeric,97%,97%,True
60,absolute_risk_base,numeric,null,null,True
61,absolute_risk_base,numeric,null,null,True
62,absolute_risk_base,numeric,null,125/1000,False
63,absolute_risk_base,numeric,null,null,True
64,absolute_risk_base,numeric,43%,"3,10%",False
